team,team_zh,flag_emoji,team_display,elo,group_qualified_probability,round_16_probability,round_8_probability,semi_final_probability,final_probability,champion_probability
Argentina,阿根廷,🇦🇷,🇦🇷 阿根廷,1895,0.952,0.832,0.442,0.285,0.185,0.148
France,法國,🇫🇷,🇫🇷 法國,1885,0.91,0.815,0.459,0.291,0.193,0.143
Brazil,巴西,🇧🇷,🇧🇷 巴西,1845,0.932,0.789,0.478,0.217,0.147,0.097
Germany,德國,🇩🇪,🇩🇪 德國,1810,0.906,0.73,0.372,0.149,0.086,0.061
Netherlands,荷蘭,🇳🇱,🇳🇱 荷蘭,1830,0.884,0.665,0.353,0.207,0.087,0.059
Portugal,葡萄牙,🇵🇹,🇵🇹 葡萄牙,1860,0.851,0.613,0.326,0.196,0.109,0.057
England,英格蘭,🏴,🏴 英格蘭,1870,0.904,0.727,0.436,0.232,0.086,0.053
Croatia,克羅埃西亞,🇭🇷,🇭🇷 克羅埃西亞,1815,0.838,0.566,0.309,0.185,0.106,0.048
Spain,西班牙,🇪🇸,🇪🇸 西班牙,1825,0.906,0.663,0.37,0.181,0.069,0.047
Belgium,比利時,🇧🇪,🇧🇪 比利時,1835,0.913,0.689,0.363,0.185,0.068,0.046
Colombia,哥倫比亞,🇨🇴,🇨🇴 哥倫比亞,1775,0.795,0.562,0.321,0.17,0.109,0.042
Uruguay,烏拉圭,🇺🇾,🇺🇾 烏拉圭,1768,0.84,0.544,0.268,0.132,0.079,0.029
United States,美國,🇺🇸,🇺🇸 美國,1780,0.76,0.454,0.249,0.138,0.059,0.016
Scotland,蘇格蘭,🏴,🏴 蘇格蘭,1650,0.711,0.338,0.175,0.089,0.045,0.016
Turkiye,土耳其,🇹🇷,🇹🇷 土耳其,1695,0.723,0.41,0.205,0.103,0.054,0.014
Senegal,塞內加爾,🇸🇳,🇸🇳 塞內加爾,1745,0.638,0.367,0.191,0.098,0.044,0.014
Mexico,墨西哥,🇲🇽,🇲🇽 墨西哥,1765,0.78,0.384,0.2,0.097,0.039,0.012
Norway,挪威,🇳🇴,🇳🇴 挪威,1670,0.621,0.33,0.155,0.073,0.033,0.011
Switzerland,瑞士,🇨🇭,🇨🇭 瑞士,1730,0.866,0.483,0.257,0.133,0.055,0.01
Austria,奧地利,🇦🇹,🇦🇹 奧地利,1710,0.716,0.432,0.222,0.103,0.059,0.009
Morocco,摩洛哥,🇲🇦,🇲🇦 摩洛哥,1750,0.637,0.243,0.104,0.046,0.019,0.007
Czechia,捷克,🇨🇿,🇨🇿 捷克,1660,0.763,0.404,0.207,0.105,0.044,0.006
Ecuador,厄瓜多,🇪🇨,🇪🇨 厄瓜多,1680,0.703,0.304,0.143,0.064,0.027,0.006
Iran,伊朗,🇮🇷,🇮🇷 伊朗,1725,0.75,0.302,0.138,0.064,0.025,0.006
Australia,澳洲,🇦🇺,🇦🇺 澳洲,1705,0.67,0.278,0.12,0.053,0.025,0.006
Iraq,伊拉克,🇮🇶,🇮🇶 伊拉克,1565,0.467,0.165,0.064,0.032,0.015,0.006
Sweden,瑞典,🇸🇪,🇸🇪 瑞典,1685,0.669,0.307,0.132,0.074,0.025,0.005
Uzbekistan,烏茲別克,🇺🇿,🇺🇿 烏茲別克,1615,0.578,0.251,0.123,0.039,0.022,0.005
Ivory Coast,象牙海岸,🇨🇮,🇨🇮 象牙海岸,1630,0.655,0.204,0.084,0.035,0.013,0.005
Japan,日本,🇯🇵,🇯🇵 日本,1740,0.613,0.198,0.096,0.038,0.017,0.003
Paraguay,巴拉圭,🇵🇾,🇵🇾 巴拉圭,1645,0.582,0.185,0.082,0.024,0.014,0.003
South Korea,南韓,🇰🇷,🇰🇷 南韓,1715,0.649,0.237,0.092,0.038,0.017,0.002
Egypt,埃及,🇪🇬,🇪🇬 埃及,1665,0.646,0.178,0.068,0.029,0.008,0.002
Jordan,約旦,🇯🇴,🇯🇴 約旦,1500,0.422,0.108,0.038,0.009,0.005,0.002
Algeria,阿爾及利亞,🇩🇿,🇩🇿 阿爾及利亞,1655,0.507,0.134,0.057,0.018,0.004,0.002
DR Congo,剛果民主共和國,🇨🇩,🇨🇩 剛果民主共和國,1520,0.455,0.113,0.034,0.01,0.002,0.001
Panama,巴拿馬,🇵🇦,🇵🇦 巴拿馬,1635,0.487,0.131,0.04,0.01,0.001,0.001
Qatar,卡達,🇶🇦,🇶🇦 卡達,1570,0.599,0.074,0.017,0.002,0.002,0.0
