market_id,market_name,option_name,probability,estimated_odds,market_odds,fused_probability,risk_level,explanation
1x2_home,不讓分勝平負,主勝,0.3528,2.27,1.55,0.4405,中,主隊進球期望高於客隊時機率會上升。
1x2_draw,不讓分勝平負,和局,0.2485,4.05,4.1,0.2471,高,雙方期望進球接近時和局機率較高。
1x2_away,不讓分勝平負,客勝,0.3986,3.05,6.2,0.3274,高,客隊進攻與防守效率較佳時機率會上升。
handicap_home_-1,讓分盤,主隊 -1,0.1627,6.14,,0.1627,高,依 0~6 球比分分佈推導過盤機率。
handicap_home_+1,讓分盤,主隊 +1,0.6013,1.66,,0.6013,低,依 0~6 球比分分佈推導過盤機率。
handicap_away_-1,讓分盤,客隊 -1,0.1934,5.17,,0.1934,高,依 0~6 球比分分佈推導過盤機率。
handicap_away_+1,讓分盤,客隊 +1,0.6455,1.55,,0.6455,低,依 0~6 球比分分佈推導過盤機率。
handicap_home_-2,讓分盤,主隊 -2,0.0592,16.89,,0.0592,高,依 0~6 球比分分佈推導過盤機率。
handicap_away_+2,讓分盤,客隊 +2,0.8373,1.19,,0.8373,低,依 0~6 球比分分佈推導過盤機率。
ou_over_0.5,大小球,大 0.5,0.946,1.06,,0.946,低,總進球高於盤口的模型機率。
ou_under_0.5,大小球,小 0.5,0.054,18.51,,0.054,高,總進球低於或等於盤口的模型機率。
ou_over_1.5,大小球,大 1.5,0.7882,1.27,,0.7882,低,總進球高於盤口的模型機率。
ou_under_1.5,大小球,小 1.5,0.2118,4.72,,0.2118,高,總進球低於或等於盤口的模型機率。
ou_over_2.5,大小球,大 2.5,0.5579,1.79,,0.5579,中,總進球高於盤口的模型機率。
ou_under_2.5,大小球,小 2.5,0.4421,2.26,,0.4421,中,總進球低於或等於盤口的模型機率。
ou_over_3.5,大小球,大 3.5,0.3338,3.0,,0.3338,高,總進球高於盤口的模型機率。
ou_under_3.5,大小球,小 3.5,0.6662,1.5,,0.6662,低,總進球低於或等於盤口的模型機率。
ou_over_4.5,大小球,大 4.5,0.1701,5.88,,0.1701,高,總進球高於盤口的模型機率。
ou_under_4.5,大小球,小 4.5,0.8299,1.21,,0.8299,低,總進球低於或等於盤口的模型機率。
ou_over_8.5,大小球,大 8.5,0.0024,200.0,,0.0024,高,總進球高於盤口的模型機率。
ou_under_8.5,大小球,小 8.5,0.9976,1.02,,0.9976,低,總進球低於或等於盤口的模型機率。
btts_yes,兩隊是否都進球,是,0.5886,1.7,,0.5886,中,雙方至少各進一球的機率。
btts_no,兩隊是否都進球,否,0.4114,2.43,,0.4114,中,至少一隊沒有進球的機率。
first_goal_home,第一球,主隊,0.4568,2.19,,0.4568,中,依雙方進球率推估第一球來源。
first_goal_none,第一球,無進球,0.0539,18.54,,0.0539,高,全場 0:0 的模型機率。
first_goal_away,第一球,客隊,0.4892,2.04,,0.4892,中,依客隊進球率推估第一球來源。
score_0_0,正確比數,0:0,0.054,18.51,,0.054,高,由 Poisson 比分分佈直接推導。
score_1_0,正確比數,1:0,0.0762,13.13,,0.0762,高,由 Poisson 比分分佈直接推導。
score_0_1,正確比數,0:1,0.0816,12.26,,0.0816,高,由 Poisson 比分分佈直接推導。
score_1_1,正確比數,1:1,0.115,8.69,,0.115,高,由 Poisson 比分分佈直接推導。
score_2_0,正確比數,2:0,0.0537,18.62,,0.0537,高,由 Poisson 比分分佈直接推導。
score_0_2,正確比數,0:2,0.0616,16.24,,0.0616,高,由 Poisson 比分分佈直接推導。
score_2_1,正確比數,2:1,0.0811,12.33,,0.0811,高,由 Poisson 比分分佈直接推導。
score_1_2,正確比數,1:2,0.0868,11.52,,0.0868,高,由 Poisson 比分分佈直接推導。
score_2_2,正確比數,2:2,0.0612,16.33,,0.0612,高,由 Poisson 比分分佈直接推導。
score_3_0,正確比數,3:0,0.0252,39.62,,0.0252,高,由 Poisson 比分分佈直接推導。
score_0_3,正確比數,0:3,0.031,32.26,,0.031,高,由 Poisson 比分分佈直接推導。
score_3_1,正確比數,3:1,0.0381,26.24,,0.0381,高,由 Poisson 比分分佈直接推導。
score_1_3,正確比數,1:3,0.0437,22.88,,0.0437,高,由 Poisson 比分分佈直接推導。
score_other,正確比數,其他,0.1907,5.24,,0.1907,高,未列入常見比分的其餘結果。
home_goals_0,球隊正確進球數,主隊 0 球,0.2443,4.09,,0.2443,高,單隊進球數分佈。
home_goals_1,球隊正確進球數,主隊 1 球,0.3445,2.9,,0.3445,高,單隊進球數分佈。
home_goals_2,球隊正確進球數,主隊 2 球,0.2428,4.12,,0.2428,高,單隊進球數分佈。
home_goals_3plus,球隊正確進球數,主隊 3+ 球,0.1684,5.94,,0.1684,高,單隊進 3 球以上機率。
away_goals_0,球隊正確進球數,客隊 0 球,0.2211,4.52,,0.2211,高,單隊進球數分佈。
away_goals_1,球隊正確進球數,客隊 1 球,0.3339,2.99,,0.3339,高,單隊進球數分佈。
away_goals_2,球隊正確進球數,客隊 2 球,0.2521,3.97,,0.2521,高,單隊進球數分佈。
away_goals_3plus,球隊正確進球數,客隊 3+ 球,0.1929,5.18,,0.1929,高,單隊進 3 球以上機率。
total_range_0_1,總進球數,0-1 球,0.2118,4.72,,0.2118,高,由總進球分佈推導。
total_range_2_3,總進球數,2-3 球,0.4545,2.2,,0.4545,中,由總進球分佈推導。
total_range_4_5,總進球數,4-5 球,0.2592,3.86,,0.2592,高,由總進球分佈推導。
total_range_6plus,總進球數,6+ 球,0.0746,13.41,,0.0746,高,由總進球分佈推導。
odd_even_odd,總進球單雙,單,0.4985,2.01,,0.4985,中,總進球為奇數的機率。
odd_even_even,總進球單雙,雙,0.5015,1.99,,0.5015,中,總進球為偶數的機率。
ht_home,上半場勝平負,主勝,0.2871,3.48,,0.2871,高,以半場期望進球推估。
ht_draw,上半場勝平負,和局,0.3982,2.51,,0.3982,高,半場進球較少時和局機率通常較高。
ht_away,上半場勝平負,客勝,0.3147,3.18,,0.3147,高,以客隊半場進球分佈推估。
hft_home_home,半全場,主/主,0.2086,4.79,,0.2086,高,由上半場與下半場比分分佈推導。
hft_home_draw,半全場,主/和,0.0534,18.74,,0.0534,高,由上半場與下半場比分分佈推導。
hft_home_away,半全場,主/客,0.0252,39.68,,0.0252,高,由上半場與下半場比分分佈推導。
hft_draw_home,半全場,和/主,0.1226,8.16,,0.1226,高,由上半場與下半場比分分佈推導。
hft_draw_draw,半全場,和/和,0.1407,7.11,,0.1407,高,由上半場與下半場比分分佈推導。
hft_draw_away,半全場,和/客,0.1349,7.41,,0.1349,高,由上半場與下半場比分分佈推導。
hft_away_home,半全場,客/主,0.0231,43.24,,0.0231,高,由上半場與下半場比分分佈推導。
hft_away_draw,半全場,客/和,0.0534,18.74,,0.0534,高,由上半場與下半場比分分佈推導。
hft_away_away,半全場,客/客,0.2382,4.2,,0.2382,高,由上半場與下半場比分分佈推導。
