team,team_zh,flag_emoji,team_display,elo,history_score,recent_form,champion_probability
Argentina,阿根廷,🇦🇷,🇦🇷 阿根廷,1895,0.5605,1.0,0.148
France,法國,🇫🇷,🇫🇷 法國,1885,0.5948,1.0,0.143
Brazil,巴西,🇧🇷,🇧🇷 巴西,1845,0.6221,0.7778,0.097
Germany,德國,🇩🇪,🇩🇪 德國,1810,0.7137,0.4444,0.061
Netherlands,荷蘭,🇳🇱,🇳🇱 荷蘭,1830,0.5437,0.5,0.059
Portugal,葡萄牙,🇵🇹,🇵🇹 葡萄牙,1860,0.3377,0.5,0.057
England,英格蘭,🏴,🏴 英格蘭,1870,0.3339,0.6667,0.053
Croatia,克羅埃西亞,🇭🇷,🇭🇷 克羅埃西亞,1815,0.3306,0.5,0.048
Spain,西班牙,🇪🇸,🇪🇸 西班牙,1825,0.5066,0.5,0.047
Belgium,比利時,🇧🇪,🇧🇪 比利時,1835,0.4544,0.5,0.046
Colombia,哥倫比亞,🇨🇴,🇨🇴 哥倫比亞,1775,0.4472,0.5,0.042
Uruguay,烏拉圭,🇺🇾,🇺🇾 烏拉圭,1768,0.347,0.5,0.029
United States,美國,🇺🇸,🇺🇸 美國,1780,0.18,0.5,0.016
Scotland,蘇格蘭,🏴,🏴 蘇格蘭,1650,0.45,0.5,0.016
Turkiye,土耳其,🇹🇷,🇹🇷 土耳其,1695,0.45,0.5,0.014
Senegal,塞內加爾,🇸🇳,🇸🇳 塞內加爾,1745,0.2771,0.5,0.014
Mexico,墨西哥,🇲🇽,🇲🇽 墨西哥,1765,0.262,0.1667,0.012
Norway,挪威,🇳🇴,🇳🇴 挪威,1670,0.45,0.5,0.011
Switzerland,瑞士,🇨🇭,🇨🇭 瑞士,1730,0.2816,0.5,0.01
Austria,奧地利,🇦🇹,🇦🇹 奧地利,1710,0.45,0.5,0.009
Morocco,摩洛哥,🇲🇦,🇲🇦 摩洛哥,1750,0.255,0.0,0.007
Czechia,捷克,🇨🇿,🇨🇿 捷克,1660,0.45,0.5,0.006
Ecuador,厄瓜多,🇪🇨,🇪🇨 厄瓜多,1680,0.2615,0.5,0.006
Iran,伊朗,🇮🇷,🇮🇷 伊朗,1725,0.1209,0.5,0.006
Australia,澳洲,🇦🇺,🇦🇺 澳洲,1705,0.1574,0.5,0.006
Iraq,伊拉克,🇮🇶,🇮🇶 伊拉克,1565,0.45,0.5,0.006
Sweden,瑞典,🇸🇪,🇸🇪 瑞典,1685,0.2635,0.5,0.005
Uzbekistan,烏茲別克,🇺🇿,🇺🇿 烏茲別克,1615,0.45,0.5,0.005
Ivory Coast,象牙海岸,🇨🇮,🇨🇮 象牙海岸,1630,0.2305,0.5,0.005
Japan,日本,🇯🇵,🇯🇵 日本,1740,0.2193,0.1111,0.003
Paraguay,巴拉圭,🇵🇾,🇵🇾 巴拉圭,1645,0.1875,0.5,0.003
South Korea,南韓,🇰🇷,🇰🇷 南韓,1715,0.2456,0.1667,0.002
Egypt,埃及,🇪🇬,🇪🇬 埃及,1665,0.0167,0.5,0.002
Jordan,約旦,🇯🇴,🇯🇴 約旦,1500,0.45,0.5,0.002
Algeria,阿爾及利亞,🇩🇿,🇩🇿 阿爾及利亞,1655,0.1215,0.5,0.002
DR Congo,剛果民主共和國,🇨🇩,🇨🇩 剛果民主共和國,1520,0.45,0.5,0.001
Panama,巴拿馬,🇵🇦,🇵🇦 巴拿馬,1635,0.0,0.5,0.001
Qatar,卡達,🇶🇦,🇶🇦 卡達,1570,0.0,0.5,0.0
Cape Verde,維德角,🇨🇻,🇨🇻 維德角,1495,0.45,0.5,0.0
Canada,加拿大,🇨🇦,🇨🇦 加拿大,1625,0.0083,0.1111,0.0
Haiti,海地,🇭🇹,🇭🇹 海地,1435,0.45,0.5,0.0
Bosnia and Herzegovina,波士尼亞與赫塞哥維納,🇧🇦,🇧🇦 波士尼亞與赫塞哥維納,1515,0.2333,0.5,0.0
Tunisia,突尼西亞,🇹🇳,🇹🇳 突尼西亞,1620,0.1209,0.5,0.0
South Africa,南非,🇿🇦,🇿🇦 南非,1545,0.225,0.5,0.0
Saudi Arabia,沙烏地阿拉伯,🇸🇦,🇸🇦 沙烏地阿拉伯,1560,0.0917,0.5,0.0
Curacao,庫拉索,🇨🇼,🇨🇼 庫拉索,1425,0.45,0.5,0.0
Ghana,迦納,🇬🇭,🇬🇭 迦納,1505,0.225,0.5,0.0
New Zealand,紐西蘭,🇳🇿,🇳🇿 紐西蘭,1440,0.05,0.5,0.0
