team,team_zh,flag_emoji,team_display,elo,history_score,recent_form,strength,group_qualified_probability,round_16_probability,round_8_probability,semi_final_probability,final_probability,champion_probability,round_32_probability
Argentina,阿根廷,🇦🇷,🇦🇷 阿根廷,1895,0.5605,1.0,1.6043,0.952,0.832,0.442,0.285,0.185,0.148,0.952
France,法國,🇫🇷,🇫🇷 法國,1885,0.5948,1.0,1.6066,0.91,0.815,0.459,0.291,0.193,0.143,0.91
Brazil,巴西,🇧🇷,🇧🇷 巴西,1845,0.6221,0.7778,1.4444,0.932,0.789,0.478,0.217,0.147,0.097,0.932
Germany,德國,🇩🇪,🇩🇪 德國,1810,0.7137,0.4444,1.2839,0.906,0.73,0.372,0.149,0.086,0.061,0.906
Netherlands,荷蘭,🇳🇱,🇳🇱 荷蘭,1830,0.5437,0.5,1.2384,0.884,0.665,0.353,0.207,0.087,0.059,0.884
Portugal,葡萄牙,🇵🇹,🇵🇹 葡萄牙,1860,0.3377,0.5,1.1645,0.851,0.613,0.326,0.196,0.109,0.057,0.851
England,英格蘭,🏴,🏴 英格蘭,1870,0.3339,0.6667,1.257,0.904,0.727,0.436,0.232,0.086,0.053,0.904
Croatia,克羅埃西亞,🇭🇷,🇭🇷 克羅埃西亞,1815,0.3306,0.5,1.0699,0.838,0.566,0.309,0.185,0.106,0.048,0.838
Spain,西班牙,🇪🇸,🇪🇸 西班牙,1825,0.5066,0.5,1.2043,0.906,0.663,0.37,0.181,0.069,0.047,0.906
Belgium,比利時,🇧🇪,🇧🇪 比利時,1835,0.4544,0.5,1.1904,0.913,0.689,0.363,0.185,0.068,0.046,0.913
Colombia,哥倫比亞,🇨🇴,🇨🇴 哥倫比亞,1775,0.4472,0.5,1.0657,0.795,0.562,0.321,0.17,0.109,0.042,0.795
Uruguay,烏拉圭,🇺🇾,🇺🇾 烏拉圭,1768,0.347,0.5,0.9866,0.84,0.544,0.268,0.132,0.079,0.029,0.84
United States,美國,🇺🇸,🇺🇸 美國,1780,0.18,0.5,0.902,0.76,0.454,0.249,0.138,0.059,0.016,0.76
Scotland,蘇格蘭,🏴,🏴 蘇格蘭,1650,0.45,0.5,0.8175,0.711,0.338,0.175,0.089,0.045,0.016,0.711
Turkiye,土耳其,🇹🇷,🇹🇷 土耳其,1695,0.45,0.5,0.9075,0.723,0.41,0.205,0.103,0.054,0.014,0.723
Senegal,塞內加爾,🇸🇳,🇸🇳 塞內加爾,1745,0.2771,0.5,0.8951,0.638,0.367,0.191,0.098,0.044,0.014,0.638
Mexico,墨西哥,🇲🇽,🇲🇽 墨西哥,1765,0.262,0.1667,0.7753,0.78,0.384,0.2,0.097,0.039,0.012,0.78
Norway,挪威,🇳🇴,🇳🇴 挪威,1670,0.45,0.5,0.8575,0.621,0.33,0.155,0.073,0.033,0.011,0.621
Switzerland,瑞士,🇨🇭,🇨🇭 瑞士,1730,0.2816,0.5,0.868,0.866,0.483,0.257,0.133,0.055,0.01,0.866
Austria,奧地利,🇦🇹,🇦🇹 奧地利,1710,0.45,0.5,0.9375,0.716,0.432,0.222,0.103,0.059,0.009,0.716
Morocco,摩洛哥,🇲🇦,🇲🇦 摩洛哥,1750,0.255,0.0,0.6658,0.637,0.243,0.104,0.046,0.019,0.007,0.637
Czechia,捷克,🇨🇿,🇨🇿 捷克,1660,0.45,0.5,0.8375,0.763,0.404,0.207,0.105,0.044,0.006,0.763
Ecuador,厄瓜多,🇪🇨,🇪🇨 厄瓜多,1680,0.2615,0.5,0.755,0.703,0.304,0.143,0.064,0.027,0.006,0.703
Iran,伊朗,🇮🇷,🇮🇷 伊朗,1725,0.1209,0.5,0.7536,0.75,0.302,0.138,0.064,0.025,0.006,0.75
Australia,澳洲,🇦🇺,🇦🇺 澳洲,1705,0.1574,0.5,0.7373,0.67,0.278,0.12,0.053,0.025,0.006,0.67
Iraq,伊拉克,🇮🇶,🇮🇶 伊拉克,1565,0.45,0.5,0.6475,0.467,0.165,0.064,0.032,0.015,0.006,0.467
Sweden,瑞典,🇸🇪,🇸🇪 瑞典,1685,0.2635,0.5,0.7663,0.669,0.307,0.132,0.074,0.025,0.005,0.669
Uzbekistan,烏茲別克,🇺🇿,🇺🇿 烏茲別克,1615,0.45,0.5,0.7475,0.578,0.251,0.123,0.039,0.022,0.005,0.578
Ivory Coast,象牙海岸,🇨🇮,🇨🇮 象牙海岸,1630,0.2305,0.5,0.6348,0.655,0.204,0.084,0.035,0.013,0.005,0.655
Japan,日本,🇯🇵,🇯🇵 日本,1740,0.2193,0.1111,0.6725,0.613,0.198,0.096,0.038,0.017,0.003,0.613
Paraguay,巴拉圭,🇵🇾,🇵🇾 巴拉圭,1645,0.1875,0.5,0.6369,0.582,0.185,0.082,0.024,0.014,0.003,0.582
South Korea,南韓,🇰🇷,🇰🇷 南韓,1715,0.2456,0.1667,0.6646,0.649,0.237,0.092,0.038,0.017,0.002,0.649
Egypt,埃及,🇪🇬,🇪🇬 埃及,1665,0.0167,0.5,0.5659,0.646,0.178,0.068,0.029,0.008,0.002,0.646
Jordan,約旦,🇯🇴,🇯🇴 約旦,1500,0.45,0.5,0.5175,0.422,0.108,0.038,0.009,0.005,0.002,0.422
Algeria,阿爾及利亞,🇩🇿,🇩🇿 阿爾及利亞,1655,0.1215,0.5,0.614,0.507,0.134,0.057,0.018,0.004,0.002,0.507
DR Congo,剛果民主共和國,🇨🇩,🇨🇩 剛果民主共和國,1520,0.45,0.5,0.5575,0.455,0.113,0.034,0.01,0.002,0.001,0.455
Panama,巴拿馬,🇵🇦,🇵🇦 巴拿馬,1635,0.0,0.5,0.495,0.487,0.131,0.04,0.01,0.001,0.001,0.487
Qatar,卡達,🇶🇦,🇶🇦 卡達,1570,0.0,0.5,0.365,0.599,0.074,0.017,0.002,0.002,0.0,0.599
Cape Verde,維德角,🇨🇻,🇨🇻 維德角,1495,0.45,0.5,0.5075,0.491,0.11,0.035,0.011,0.001,0.0,0.491
Canada,加拿大,🇨🇦,🇨🇦 加拿大,1625,0.0083,0.1111,0.3054,0.6,0.074,0.013,0.005,0.001,0.0,0.6
Haiti,海地,🇭🇹,🇭🇹 海地,1435,0.45,0.5,0.3875,0.363,0.061,0.014,0.002,0.001,0.0,0.363
Bosnia and Herzegovina,波士尼亞與赫塞哥維納,🇧🇦,🇧🇦 波士尼亞與赫塞哥維納,1515,0.2333,0.5,0.4066,0.612,0.126,0.029,0.008,0.0,0.0,0.612
Tunisia,突尼西亞,🇹🇳,🇹🇳 突尼西亞,1620,0.1209,0.5,0.5436,0.539,0.117,0.045,0.008,0.0,0.0,0.539
South Africa,南非,🇿🇦,🇿🇦 南非,1545,0.225,0.5,0.4613,0.502,0.097,0.033,0.007,0.0,0.0,0.502
Saudi Arabia,沙烏地阿拉伯,🇸🇦,🇸🇦 沙烏地阿拉伯,1560,0.0917,0.5,0.4046,0.437,0.069,0.013,0.003,0.0,0.0,0.437
Curacao,庫拉索,🇨🇼,🇨🇼 庫拉索,1425,0.45,0.5,0.3675,0.392,0.051,0.01,0.001,0.0,0.0,0.392
Ghana,迦納,🇬🇭,🇬🇭 迦納,1505,0.225,0.5,0.3813,0.423,0.061,0.015,0.001,0.0,0.0,0.423
New Zealand,紐西蘭,🇳🇿,🇳🇿 紐西蘭,1440,0.05,0.5,0.1375,0.343,0.025,0.003,0.0,0.0,0.0,0.343
