market_type,option,probability,estimated_odds,market_odds,risk_level
冠軍,🇦🇷 阿根廷,0.148,6.76,,高
冠軍,🇫🇷 法國,0.143,6.99,,高
冠軍,🇧🇷 巴西,0.097,10.31,,高
冠軍,🇩🇪 德國,0.061,16.39,,高
冠軍,🇳🇱 荷蘭,0.059,16.95,,高
冠軍,🇵🇹 葡萄牙,0.057,17.54,,高
冠軍,🏴 英格蘭,0.053,18.87,,高
冠軍,🇭🇷 克羅埃西亞,0.048,20.83,,高
冠軍,🇪🇸 西班牙,0.047,21.28,,高
冠軍,🇧🇪 比利時,0.046,21.74,,高
冠軍,🇨🇴 哥倫比亞,0.042,23.81,,高
冠軍,🇺🇾 烏拉圭,0.029,34.48,,高
冠軍,🇺🇸 美國,0.016,62.5,,高
冠軍,🏴 蘇格蘭,0.016,62.5,,高
冠軍,🇹🇷 土耳其,0.014,71.43,,高
冠軍,🇸🇳 塞內加爾,0.014,71.43,,高
冠軍,🇲🇽 墨西哥,0.012,83.33,,高
冠軍,🇳🇴 挪威,0.011,90.91,,高
冠軍,🇨🇭 瑞士,0.01,100.0,,高
冠軍,🇦🇹 奧地利,0.009,111.11,,高
冠軍,🇲🇦 摩洛哥,0.007,142.86,,高
冠軍,🇨🇿 捷克,0.006,166.67,,高
冠軍,🇪🇨 厄瓜多,0.006,166.67,,高
冠軍,🇮🇷 伊朗,0.006,166.67,,高
冠軍,🇦🇺 澳洲,0.006,166.67,,高
冠軍,🇮🇶 伊拉克,0.006,166.67,,高
冠軍,🇸🇪 瑞典,0.005,200.0,,高
冠軍,🇺🇿 烏茲別克,0.005,200.0,,高
冠軍,🇨🇮 象牙海岸,0.005,200.0,,高
冠軍,🇯🇵 日本,0.003,200.0,,高
冠軍,🇵🇾 巴拉圭,0.003,200.0,,高
冠軍,🇰🇷 南韓,0.002,200.0,,高
冠軍,🇪🇬 埃及,0.002,200.0,,高
冠軍,🇯🇴 約旦,0.002,200.0,,高
冠軍,🇩🇿 阿爾及利亞,0.002,200.0,,高
冠軍,🇨🇩 剛果民主共和國,0.001,200.0,,高
冠軍,🇵🇦 巴拿馬,0.001,200.0,,高
冠軍,🇶🇦 卡達,0.0,200.0,,高
冠軍,🇨🇻 維德角,0.0,200.0,,高
冠軍,🇨🇦 加拿大,0.0,200.0,,高
冠軍,🇭🇹 海地,0.0,200.0,,高
冠軍,🇧🇦 波士尼亞與赫塞哥維納,0.0,200.0,,高
冠軍,🇹🇳 突尼西亞,0.0,200.0,,高
冠軍,🇿🇦 南非,0.0,200.0,,高
冠軍,🇸🇦 沙烏地阿拉伯,0.0,200.0,,高
冠軍,🇨🇼 庫拉索,0.0,200.0,,高
冠軍,🇬🇭 迦納,0.0,200.0,,高
冠軍,🇳🇿 紐西蘭,0.0,200.0,,高
小組第一,Group A 🇲🇽 墨西哥,0.2831,3.53,,高
小組第一,Group A 🇨🇿 捷克,0.3058,3.27,,高
小組第一,Group A 🇰🇷 南韓,0.2427,4.12,,高
小組第一,Group A 🇿🇦 南非,0.1684,5.94,,高
小組第一,Group B 🇨🇭 瑞士,0.4463,2.24,,中
小組第一,Group B 🇶🇦 卡達,0.1877,5.33,,高
小組第一,Group B 🇨🇦 加拿大,0.157,6.37,,高
小組第一,Group B 🇧🇦 波士尼亞與赫塞哥維納,0.209,4.78,,高
小組第一,Group C 🇧🇷 巴西,0.4357,2.3,,中
小組第一,Group C 🏴 蘇格蘭,0.2466,4.06,,高
小組第一,Group C 🇲🇦 摩洛哥,0.2008,4.98,,高
小組第一,Group C 🇭🇹 海地,0.1169,8.56,,高
小組第一,Group D 🇺🇸 美國,0.2833,3.53,,高
小組第一,Group D 🇹🇷 土耳其,0.285,3.51,,高
小組第一,Group D 🇦🇺 澳洲,0.2316,4.32,,高
小組第一,Group D 🇵🇾 巴拉圭,0.2001,5.0,,高
小組第一,Group E 🇩🇪 德國,0.4222,2.37,,中
小組第一,Group E 🇪🇨 厄瓜多,0.2483,4.03,,高
小組第一,Group E 🇨🇮 象牙海岸,0.2087,4.79,,高
小組第一,Group E 🇨🇼 庫拉索,0.1208,8.28,,高
小組第一,Group F 🇳🇱 荷蘭,0.3845,2.6,,高
小組第一,Group F 🇸🇪 瑞典,0.2379,4.2,,高
小組第一,Group F 🇯🇵 日本,0.2088,4.79,,高
小組第一,Group F 🇹🇳 突尼西亞,0.1688,5.92,,高
小組第一,Group G 🇧🇪 比利時,0.4496,2.22,,中
小組第一,Group G 🇮🇷 伊朗,0.2847,3.51,,高
小組第一,Group G 🇪🇬 埃及,0.2138,4.68,,高
小組第一,Group G 🇳🇿 紐西蘭,0.0519,19.25,,高
小組第一,Group H 🇪🇸 西班牙,0.3881,2.58,,高
小組第一,Group H 🇺🇾 烏拉圭,0.318,3.15,,高
小組第一,Group H 🇨🇻 維德角,0.1636,6.11,,高
小組第一,Group H 🇸🇦 沙烏地阿拉伯,0.1304,7.67,,高
小組第一,Group I 🇫🇷 法國,0.401,2.49,,中
小組第一,Group I 🇸🇳 塞內加爾,0.2234,4.48,,高
小組第一,Group I 🇳🇴 挪威,0.214,4.67,,高
小組第一,Group I 🇮🇶 伊拉克,0.1616,6.19,,高
小組第一,Group J 🇦🇷 阿根廷,0.4367,2.29,,中
小組第一,Group J 🇦🇹 奧地利,0.2552,3.92,,高
小組第一,Group J 🇯🇴 約旦,0.1409,7.1,,高
小組第一,Group J 🇩🇿 阿爾及利亞,0.1672,5.98,,高
小組第一,Group K 🇵🇹 葡萄牙,0.3294,3.04,,高
小組第一,Group K 🇨🇴 哥倫比亞,0.3015,3.32,,高
小組第一,Group K 🇺🇿 烏茲別克,0.2114,4.73,,高
小組第一,Group K 🇨🇩 剛果民主共和國,0.1577,6.34,,高
小組第一,Group L 🏴 英格蘭,0.3924,2.55,,高
小組第一,Group L 🇭🇷 克羅埃西亞,0.334,2.99,,高
小組第一,Group L 🇵🇦 巴拿馬,0.1545,6.47,,高
小組第一,Group L 🇬🇭 迦納,0.119,8.4,,高
晉級階段,🇦🇷 阿根廷 小組出線,0.952,1.05,,低
晉級階段,🇦🇷 阿根廷 32 強,0.952,1.05,,低
