player_name,team,team_zh,nationality,position,age,national_goals,assists,appearances,recent_form,is_key_player,club,data_note
Matěj Kovář,Czechia,捷克,捷克,Goalkeeper,26,0,0,20,6.6,False,PSV Eindhoven,N/A
David Zima,Czechia,捷克,捷克,Defender,25,1,0,25,6.8,False,Slavia Prague,N/A
Tomáš Holeš,Czechia,捷克,捷克,Defender,33,2,1,41,6.9,False,Slavia Prague,N/A
Robin Hranáč,Czechia,捷克,捷克,Defender,26,1,0,14,6.7,False,TSG Hoffenheim,N/A
Vladimír Coufal,Czechia,捷克,捷克,Defender,33,2,1,62,7.1,False,TSG Hoffenheim,N/A
Štěpán Chaloupek,Czechia,捷克,捷克,Defender,23,0,0,5,6.4,False,Slavia Prague,N/A
Ladislav Krejčí,Czechia,捷克,捷克,Defender,27,5,2,27,7.1,False,Wolverhampton Wanderers,N/A
Vladimír Darida,Czechia,捷克,捷克,Midfielder,35,8,3,79,7.4,False,Hradec Králové,N/A
Adam Hložek,Czechia,捷克,捷克,Forward,23,5,2,43,7.1,False,TSG Hoffenheim,N/A
Patrik Schick,Czechia,捷克,捷克,Forward,30,26,11,53,8.2,True,Bayer Leverkusen,N/A
Jan Kuchta,Czechia,捷克,捷克,Forward,29,3,1,31,7.0,False,Sparta Prague,N/A
Lukáš Červ,Czechia,捷克,捷克,Midfielder,25,2,1,17,6.9,False,Viktoria Plzeň,N/A
Mojmír Chytil,Czechia,捷克,捷克,Forward,27,6,3,22,7.3,False,Slavia Prague,N/A
David Jurásek,Czechia,捷克,捷克,Defender,25,1,0,18,6.7,False,Slavia Prague,N/A
Pavel Šulc,Czechia,捷克,捷克,Forward,25,5,2,21,7.2,False,Lyon,N/A
Jindřich Staněk,Czechia,捷克,捷克,Goalkeeper,30,0,0,14,6.5,False,Slavia Prague,N/A
Lukáš Provod,Czechia,捷克,捷克,Midfielder,29,3,1,38,7.0,False,Slavia Prague,N/A
Michal Sadílek,Czechia,捷克,捷克,Midfielder,27,1,0,35,6.8,False,Slavia Prague,N/A
Tomáš Chorý,Czechia,捷克,捷克,Forward,31,7,3,22,7.4,False,Slavia Prague,N/A
Jaroslav Zelený,Czechia,捷克,捷克,Defender,33,0,0,23,6.6,False,Sparta Prague,N/A
David Douděra,Czechia,捷克,捷克,Defender,28,2,1,17,6.9,False,Slavia Prague,N/A
Tomáš Souček,Czechia,捷克,捷克,Midfielder,31,17,7,90,7.8,True,West Ham United,N/A
Lukáš Horníček,Czechia,捷克,捷克,Goalkeeper,23,0,0,1,6.4,False,Braga,N/A
Alexandr Sojka,Czechia,捷克,捷克,Midfielder,23,0,0,2,6.4,False,Viktoria Plzeň,N/A
Hugo Sochůrek,Czechia,捷克,捷克,Midfielder,18,0,0,1,6.4,False,Sparta Prague,N/A
Denis Višinský,Czechia,捷克,捷克,Forward,23,1,0,2,7.7,True,Viktoria Plzeň,N/A
Raúl Rangel,Mexico,墨西哥,墨西哥,Goalkeeper,26,0,0,14,6.5,False,Guadalajara,N/A
Jorge Sánchez,Mexico,墨西哥,墨西哥,Defender,28,3,1,59,7.1,False,PAOK,N/A
César Montes,Mexico,墨西哥,墨西哥,Defender,29,4,2,67,7.2,False,Lokomotiv Moscow,N/A
Edson Álvarez,Mexico,墨西哥,墨西哥,Defender,28,7,3,98,7.6,True,Fenerbahçe,N/A
Johan Vásquez,Mexico,墨西哥,墨西哥,Defender,27,3,1,46,7.0,False,Genoa,N/A
Érik Lira,Mexico,墨西哥,墨西哥,Midfielder,26,0,0,25,6.6,False,Cruz Azul,N/A
Luis Romo,Mexico,墨西哥,墨西哥,Midfielder,31,4,2,63,7.2,False,Guadalajara,N/A
Álvaro Fidalgo,Mexico,墨西哥,墨西哥,Midfielder,29,0,0,4,6.4,False,Real Betis,N/A
Raúl Jiménez,Mexico,墨西哥,墨西哥,Forward,35,45,19,124,8.3,True,Fulham,N/A
Alexis Vega,Mexico,墨西哥,墨西哥,Forward,28,7,3,52,7.3,False,Toluca,N/A
Santiago Giménez,Mexico,墨西哥,墨西哥,Forward,25,6,3,47,7.2,False,Milan,N/A
Carlos Acevedo,Mexico,墨西哥,墨西哥,Goalkeeper,30,0,0,7,6.5,False,Santos Laguna,N/A
Guillermo Ochoa,Mexico,墨西哥,墨西哥,Goalkeeper,40,0,0,152,7.4,False,AEL Limassol,N/A
Armando González,Mexico,墨西哥,墨西哥,Forward,23,1,0,7,6.8,False,Guadalajara,N/A
Israel Reyes,Mexico,墨西哥,墨西哥,Defender,26,2,1,34,6.9,False,América,N/A
Julián Quiñones,Mexico,墨西哥,墨西哥,Forward,29,2,1,22,6.8,False,Al-Qadsiah,N/A
Orbelín Pineda,Mexico,墨西哥,墨西哥,Midfielder,30,12,5,92,7.6,True,AEK Athens,N/A
Obed Vargas,Mexico,墨西哥,墨西哥,Midfielder,20,0,0,6,6.5,False,Atlético Madrid,N/A
Gilberto Mora,Mexico,墨西哥,墨西哥,Midfielder,17,0,0,8,6.5,False,Tijuana,N/A
Mateo Chávez,Mexico,墨西哥,墨西哥,Defender,22,0,0,10,6.5,False,AZ,N/A
César Huerta,Mexico,墨西哥,墨西哥,Forward,25,3,1,26,6.9,False,Anderlecht,N/A
Guillermo Martínez,Mexico,墨西哥,墨西哥,Forward,31,3,1,12,7.1,False,Pumas,N/A
Jesús Gallardo,Mexico,墨西哥,墨西哥,Defender,31,3,1,121,7.5,False,Toluca,N/A
Luis Chávez,Mexico,墨西哥,墨西哥,Midfielder,30,5,2,45,7.1,False,Dynamo Moscow,N/A
Roberto Alvarado,Mexico,墨西哥,墨西哥,Forward,27,5,2,67,7.3,False,Guadalajara,N/A
Brian Gutiérrez,Mexico,墨西哥,墨西哥,Midfielder,22,2,1,7,7.2,False,Guadalajara,N/A
Ronwen Williams,South Africa,南非,南非,Goalkeeper,34,0,0,62,7.0,False,Mamelodi Sundowns,N/A
Thabang Matuludi,South Africa,南非,南非,Defender,27,0,0,2,6.4,False,Polokwane City,N/A
Khulumani Ndamane,South Africa,南非,南非,Defender,22,0,0,5,6.4,False,Mamelodi Sundowns,N/A
Teboho Mokoena,South Africa,南非,南非,Midfielder,29,9,4,51,7.4,True,Mamelodi Sundowns,N/A
Thalente Mbatha,South Africa,南非,南非,Midfielder,26,3,1,14,7.1,False,Orlando Pirates,N/A
Aubrey Modiba,South Africa,南非,南非,Defender,30,3,1,44,7.0,False,Mamelodi Sundowns,N/A
Oswin Appollis,South Africa,南非,南非,Forward,24,8,3,25,7.4,False,Orlando Pirates,N/A
Tshepang Moremi,South Africa,南非,南非,Forward,25,1,0,9,6.8,False,Orlando Pirates,N/A
Lyle Foster,South Africa,南非,南非,Forward,25,10,4,26,7.6,True,Burnley,N/A
Relebohile Mofokeng,South Africa,南非,南非,Forward,21,0,0,12,6.5,False,Orlando Pirates,N/A
Themba Zwane,South Africa,南非,南非,Midfielder,36,12,5,53,7.5,True,Mamelodi Sundowns,N/A
Thapelo Maseko,South Africa,南非,南非,Forward,22,1,0,9,6.8,False,AEL Limassol,N/A
Sphephelo Sithole,South Africa,南非,南非,Midfielder,27,1,0,27,6.8,False,Tondela,N/A
Mbekezeli Mbokazi,South Africa,南非,南非,Defender,20,1,0,10,6.8,False,Chicago Fire FC,N/A
Iqraam Rayners,South Africa,南非,南非,Forward,30,4,2,13,7.3,False,Mamelodi Sundowns,N/A
Sipho Chaine,South Africa,南非,南非,Goalkeeper,29,0,0,3,6.4,False,Orlando Pirates,N/A
Evidence Makgopa,South Africa,南非,南非,Forward,26,6,3,26,7.2,False,Orlando Pirates,N/A
Samukele Kabini,South Africa,南非,南非,Defender,22,0,0,5,6.4,False,Molde,N/A
Nkosinathi Sibisi,South Africa,南非,南非,Defender,30,0,0,19,6.6,False,Orlando Pirates,N/A
Khuliso Mudau,South Africa,南非,南非,Defender,31,1,0,32,6.8,False,Mamelodi Sundowns,N/A
Ime Okon,South Africa,南非,南非,Defender,22,1,0,7,6.8,False,Hannover 96,N/A
Ricardo Goss,South Africa,南非,南非,Goalkeeper,32,0,0,4,6.4,False,Siwelele,N/A
