team_en,team_zh,player_name,position,caps,goals,goal_rate,recent_form_score
Mexico,墨西哥,Raul Jimenez,Forward,105,33,0.314,7.4
Mexico,墨西哥,Hirving Lozano,Forward,70,18,0.257,7.7
Mexico,墨西哥,Edson Alvarez,Midfielder,79,5,0.063,7.8
South Africa,南非,Percy Tau,Forward,48,15,0.313,7.5
South Africa,南非,Teboho Mokoena,Midfielder,38,5,0.132,7.4
South Africa,南非,Ronwen Williams,Goalkeeper,46,0,0.000,7.6
South Korea,南韓,Son Heung-min,Forward,127,44,0.346,8.5
South Korea,南韓,Hwang Hee-chan,Forward,66,14,0.212,7.8
South Korea,南韓,Lee Kang-in,Midfielder,35,10,0.286,7.9
Czechia,捷克,Patrik Schick,Forward,42,20,0.476,8.0
Czechia,捷克,Tomas Soucek,Midfielder,75,14,0.187,7.7
Czechia,捷克,Adam Hlozek,Forward,35,2,0.057,7.2
Canada,加拿大,Jonathan David,Forward,53,28,0.528,8.1
Canada,加拿大,Alphonso Davies,Defender,53,15,0.283,8.0
Canada,加拿大,Cyle Larin,Forward,70,30,0.429,7.5
Bosnia and Herzegovina,波士尼亞與赫塞哥維納,Edin Dzeko,Forward,135,66,0.489,7.7
Bosnia and Herzegovina,波士尼亞與赫塞哥維納,Miralem Pjanic,Midfielder,115,18,0.157,7.4
Bosnia and Herzegovina,波士尼亞與赫塞哥維納,Ermedin Demirovic,Forward,30,4,0.133,7.6
United States,美國,Christian Pulisic,Forward,68,29,0.426,8.3
United States,美國,Folarin Balogun,Forward,15,5,0.333,7.6
United States,美國,Weston McKennie,Midfielder,56,11,0.196,7.8
Paraguay,巴拉圭,Miguel Almiron,Midfielder,60,8,0.133,7.5
Paraguay,巴拉圭,Julio Enciso,Forward,20,3,0.150,7.4
Paraguay,巴拉圭,Gustavo Gomez,Defender,78,4,0.051,7.6
Qatar,卡達,Akram Afif,Forward,110,35,0.318,8.1
Qatar,卡達,Almoez Ali,Forward,100,46,0.460,7.8
Qatar,卡達,Hassan Al-Haydos,Midfielder,180,41,0.228,7.4
Switzerland,瑞士,Granit Xhaka,Midfielder,125,14,0.112,8.0
Switzerland,瑞士,Breel Embolo,Forward,70,15,0.214,7.7
Switzerland,瑞士,Xherdan Shaqiri,Midfielder,125,32,0.256,7.5
Brazil,巴西,Neymar,Forward,128,79,0.617,8.3
Brazil,巴西,Vinicius Junior,Forward,34,5,0.147,8.4
Brazil,巴西,Rodrygo,Forward,29,6,0.207,7.9
Morocco,摩洛哥,Youssef En-Nesyri,Forward,73,20,0.274,7.8
Morocco,摩洛哥,Hakim Ziyech,Midfielder,64,22,0.344,7.9
Morocco,摩洛哥,Achraf Hakimi,Defender,77,9,0.117,8.2
Haiti,海地,Duckens Nazon,Forward,68,36,0.529,7.6
Haiti,海地,Frantzdy Pierrot,Forward,32,18,0.563,7.4
Haiti,海地,Bryan Alceus,Midfielder,28,2,0.071,7.0
Scotland,蘇格蘭,Scott McTominay,Midfielder,55,11,0.200,8.0
Scotland,蘇格蘭,John McGinn,Midfielder,70,18,0.257,7.7
Scotland,蘇格蘭,Andy Robertson,Defender,75,3,0.040,7.8
Australia,澳洲,Mathew Leckie,Forward,80,14,0.175,7.3
Australia,澳洲,Jackson Irvine,Midfielder,70,11,0.157,7.5
Australia,澳洲,Mitchell Duke,Forward,40,11,0.275,7.2
Turkiye,土耳其,Hakan Calhanoglu,Midfielder,90,18,0.200,8.1
Turkiye,土耳其,Cenk Tosun,Forward,50,21,0.420,7.3
Turkiye,土耳其,Arda Guler,Midfielder,18,4,0.222,7.9
Ivory Coast,象牙海岸,Sebastien Haller,Forward,35,10,0.286,7.6
Ivory Coast,象牙海岸,Franck Kessie,Midfielder,75,11,0.147,7.8
Ivory Coast,象牙海岸,Simon Adingra,Forward,20,4,0.200,7.5
Ecuador,厄瓜多,Enner Valencia,Forward,85,41,0.482,7.7
Ecuador,厄瓜多,Moisés Caicedo,Midfielder,45,3,0.067,8.0
Ecuador,厄瓜多,Pervis Estupinan,Defender,40,4,0.100,7.6
Germany,德國,Thomas Muller,Forward,131,45,0.344,7.4
Germany,德國,Ilkay Gundogan,Midfielder,77,19,0.247,7.8
Germany,德國,Jamal Musiala,Midfielder,27,2,0.074,8.3
Curacao,庫拉索,Leandro Bacuna,Midfielder,45,15,0.333,7.2
Curacao,庫拉索,Juninho Bacuna,Midfielder,38,5,0.132,7.1
Curacao,庫拉索,Brandley Kuwas,Forward,35,6,0.171,7.0
Netherlands,荷蘭,Memphis Depay,Forward,95,45,0.474,7.8
Netherlands,荷蘭,Cody Gakpo,Forward,32,12,0.375,8.0
Netherlands,荷蘭,Frenkie de Jong,Midfielder,60,2,0.033,8.2
Japan,日本,Takumi Minamino,Midfielder,59,21,0.356,7.7
Japan,日本,Kaoru Mitoma,Forward,22,8,0.364,8.2
Japan,日本,Takefusa Kubo,Midfielder,33,5,0.152,7.9
