team,team_code,confederation
Mexico,MEX,CONCACAF
South Africa,RSA,CAF
South Korea,KOR,AFC
Czechia,CZE,UEFA
Canada,CAN,CONCACAF
Bosnia and Herzegovina,BIH,UEFA
United States,USA,CONCACAF
Paraguay,PAR,CONMEBOL
Qatar,QAT,AFC
Switzerland,SUI,UEFA
Brazil,BRA,CONMEBOL
Morocco,MAR,CAF
Haiti,HAI,CONCACAF
Scotland,SCO,UEFA
Australia,AUS,AFC
Turkiye,TUR,UEFA
Ivory Coast,CIV,CAF
Ecuador,ECU,CONMEBOL
Germany,GER,UEFA
Curacao,CUW,CONCACAF
Netherlands,NED,UEFA
Japan,JPN,AFC
Sweden,SWE,UEFA
Tunisia,TUN,CAF
Iran,IRN,AFC
New Zealand,NZL,OFC
Belgium,BEL,UEFA
Egypt,EGY,CAF
Saudi Arabia,KSA,AFC
Uruguay,URU,CONMEBOL
Spain,ESP,UEFA
Cape Verde,CPV,CAF
France,FRA,UEFA
Senegal,SEN,CAF
Iraq,IRQ,AFC
Norway,NOR,UEFA
Argentina,ARG,CONMEBOL
Algeria,ALG,CAF
Austria,AUT,UEFA
Jordan,JOR,AFC
Portugal,POR,UEFA
DR Congo,COD,CAF
Uzbekistan,UZB,AFC
Colombia,COL,CONMEBOL
Ghana,GHA,CAF
Panama,PAN,CONCACAF
England,ENG,UEFA
Croatia,CRO,UEFA
