team,team_zh,flag_emoji,confederation,fifa_ranking,elo,recent_form,best_finish,star_players,tactical_style,data_note
Mexico,墨西哥,🇲🇽,CONCACAF,15,1765,0.702,Round of 16,Edson Álvarez?Raúl Jiménez?Orbelín Pineda,????,???????????????????????????????
South Africa,南非,🇿🇦,CAF,58,1545,0.174,,Teboho Mokoena?Lyle Foster?Themba Zwane,????,???????????????????????????????
South Korea,南韓,🇰🇷,AFC,23,1715,0.577,Fourth Place,Son Heung-min?Lee Jae-sung?Hwang Hee-chan,????,???????????????????????????????
Czechia,捷克,🇨🇿,UEFA,36,1660,0.424,,Patrik Schick?Tomáš Souček?Denis Višinský,????,???????????????????????????????
Canada,加拿大,🇨🇦,CONCACAF,48,1625,0.285,Group Stage,Cyle Larin?Jonathan David?Alphonso Davies,????,???????????????????????????????
Bosnia and Herzegovina,波士尼亞與赫塞哥維納,🇧🇦,UEFA,63,1515,0.132,,Sead Kolašinac?Edin Džeko?Haris Tabaković,????,???????????????????????????????
United States,美國,🇺🇸,CONCACAF,11,1780,0.778,,Weston McKennie?Ricardo Pepi?Christian Pulisic,????,???????????????????????????????
Paraguay,巴拉圭,🇵🇾,CONMEBOL,42,1645,0.361,,Miguel Almirón?Gustavo Caballero?Alexandro Maidana,????,???????????????????????????????
Qatar,卡達,🇶🇦,AFC,53,1570,0.236,,Hassan Al-Haydos?Akram Afif?Almoez Ali,????,???????????????????????????????
Switzerland,瑞士,🇨🇭,UEFA,19,1730,0.632,,Breel Embolo?Remo Freuler?Granit Xhaka,????,???????????????????????????????
Brazil,巴西,🇧🇷,CONMEBOL,5,1845,0.903,Champion,Neymar?Danilo Santos?Igor Thiago,????,???????????????????????????????
Morocco,摩洛哥,🇲🇦,CAF,12,1750,0.735,Fourth Place,Achraf Hakimi?Brahim Díaz?Ayoub El Kaabi,????,???????????????????????????????
Haiti,海地,🇭🇹,CONCACAF,86,1435,0.028,,Duckens Nazon?Lenny Joseph?Frantzdy Pierrot,????,???????????????????????????????
Scotland,蘇格蘭,🏴,UEFA,39,1650,0.382,,Scott McTominay?John McGinn?Ché Adams,????,???????????????????????????????
Australia,澳洲,🇦🇺,AFC,24,1705,0.549,,Mathew Leckie?Jackson Irvine?Tete Yengi,????,???????????????????????????????
Turkiye,土耳其,🇹🇷,UEFA,26,1695,0.528,,Merih Demiral?Kerem Aktürkoğlu?Hakan Çalhanoğlu,????,???????????????????????????????
Ivory Coast,象牙海岸,🇨🇮,CAF,45,1630,0.32,,Franck Kessié?Ibrahim Sangaré?Nicolas Pépé,????,???????????????????????????????
Ecuador,厄瓜多,🇪🇨,CONMEBOL,31,1680,0.486,,Anthony Valencia?Enner Valencia?Gonzalo Plata,????,???????????????????????????????
Germany,德國,🇩🇪,UEFA,10,1810,0.799,Champion,Kai Havertz?Assan Ouédraogo?Deniz Undav,????,???????????????????????????????
Curacao,庫拉索,🇨🇼,CONCACAF,88,1425,0.007,,Juninho Bacuna?Leandro Bacuna?Tahith Chong,????,???????????????????????????????
Netherlands,荷蘭,🇳🇱,UEFA,7,1830,0.861,,Virgil van Dijk?Memphis Depay?Cody Gakpo,????,???????????????????????????????
Japan,日本,🇯🇵,AFC,18,1740,0.653,Round of 16,Keito Nakamura?Ayase Ueda?Kōki Ogawa,????,???????????????????????????????
Sweden,瑞典,🇸🇪,UEFA,29,1685,0.507,,Alexander Isak?Viktor Gyökeres?Gustaf Nilsson,????,???????????????????????????????
Tunisia,突尼西亞,🇹🇳,CAF,46,1620,0.292,,Ali Abdi?Montassar Talbi?Ellyes Skhiri,????,???????????????????????????????
Iran,伊朗,🇮🇷,AFC,20,1725,0.611,,Alireza Jahanbakhsh?Mohammad Mohebi?Mehdi Taremi,????,???????????????????????????????
New Zealand,紐西蘭,🇳🇿,OFC,85,1440,0.049,,Chris Wood?Elijah Just?Kosta Barbarouses,????,???????????????????????????????
Belgium,比利時,🇧🇪,UEFA,6,1835,0.882,,Axel Witsel?Kevin De Bruyne?Romelu Lukaku,????,???????????????????????????????
Egypt,埃及,🇪🇬,CAF,34,1665,0.445,,Trézéguet?Mohamed Salah?Mostafa Ziko,????,???????????????????????????????
Saudi Arabia,沙烏地阿拉伯,🇸🇦,AFC,56,1560,0.195,,Firas Al-Buraikan?Salem Al-Dawsari?Saleh Al-Shehri,????,???????????????????????????????
Uruguay,烏拉圭,🇺🇾,CONMEBOL,14,1768,0.723,,José Giménez?Darwin Núñez?Giorgian de Arrascaeta,????,???????????????????????????????
Spain,西班牙,🇪🇸,UEFA,8,1825,0.841,Champion,Ferran Torres?Mikel Oyarzabal?Víctor Muñoz,????,???????????????????????????????
Cape Verde,維德角,🇨🇻,CAF,70,1495,0.07,,Garry Rodrigues?Dailon Livramento?Ryan Mendes,????,???????????????????????????????
France,法國,🇫🇷,UEFA,2,1885,0.966,Champion,Ousmane Dembélé?Kylian Mbappé?Jean-Philippe Mateta,????,???????????????????????????????
Senegal,塞內加爾,🇸🇳,CAF,17,1745,0.674,,Idrissa Gueye?Sadio Mané?Ismaïla Sarr,????,???????????????????????????????
Iraq,伊拉克,🇮🇶,AFC,55,1565,0.216,,Ibrahim Bayesh?Mohanad Ali?Aymen Hussein,????,???????????????????????????????
Norway,挪威,🇳🇴,UEFA,33,1670,0.466,,Alexander Sørloth?Erling Haaland?Thelo Aasgaard,????,???????????????????????????????
Argentina,阿根廷,🇦🇷,CONMEBOL,1,1895,0.986,Champion,Julián Alvarez?Lionel Messi?Lautaro Martínez,????,???????????????????????????????
Algeria,阿爾及利亞,🇩🇿,CAF,38,1655,0.403,,Riyad Mahrez?Mohamed Amoura?Farès Ghedjemis,????,???????????????????????????????
Austria,奧地利,🇦🇹,UEFA,22,1710,0.583,,Marko Arnautović?Marcel Sabitzer?Michael Gregoritsch,????,???????????????????????????????
Jordan,約旦,🇯🇴,AFC,68,1500,0.091,,Ali Olwan?Musa Al-Taamari?Mahmoud Al-Mardi,????,???????????????????????????????
Portugal,葡萄牙,🇵🇹,UEFA,4,1860,0.924,,Cristiano Ronaldo?Bruno Fernandes?Gonçalo Ramos,????,???????????????????????????????
DR Congo,剛果民主共和國,🇨🇩,CAF,61,1520,0.153,,Meschak Elia?Cédric Bakambu?Chancel Mbemba,????,???????????????????????????????
Uzbekistan,烏茲別克,🇺🇿,AFC,49,1615,0.257,,Otabek Shukurov?Eldor Shomurodov?Igor Sergeev,????,???????????????????????????????
Colombia,哥倫比亞,🇨🇴,CONMEBOL,13,1775,0.744,,Luis Díaz?James Rodríguez?Luis Suárez,????,???????????????????????????????
Ghana,迦納,🇬🇭,CAF,67,1505,0.111,,Thomas Partey?Jordan Ayew?Ernest Nuamah,????,???????????????????????????????
Panama,巴拿馬,🇵🇦,CONCACAF,44,1635,0.341,,Ismael Díaz?Yoel Bárcenas?José Fajardo,????,???????????????????????????????
England,英格蘭,🏴,UEFA,3,1870,0.945,Fourth Place,Bukayo Saka?Harry Kane?Marcus Rashford,????,???????????????????????????????
Croatia,克羅埃西亞,🇭🇷,UEFA,9,1815,0.82,,Andrej Kramarić?Luka Modrić?Ivan Perišić,????,???????????????????????????????
