team_en,team_zh,country_code,flag_emoji,fifa_ranking,elo
Mexico,墨西哥,MEX,🇲🇽,15,1765
South Africa,南非,RSA,🇿🇦,58,1545
South Korea,南韓,KOR,🇰🇷,23,1715
Czechia,捷克,CZE,🇨🇿,36,1660
Canada,加拿大,CAN,🇨🇦,48,1625
Bosnia and Herzegovina,波士尼亞與赫塞哥維納,BIH,🇧🇦,63,1515
United States,美國,USA,🇺🇸,11,1780
Paraguay,巴拉圭,PAR,🇵🇾,42,1645
Qatar,卡達,QAT,🇶🇦,53,1570
Switzerland,瑞士,SUI,🇨🇭,19,1730
Brazil,巴西,BRA,🇧🇷,5,1845
Morocco,摩洛哥,MAR,🇲🇦,12,1750
Haiti,海地,HAI,🇭🇹,86,1435
Scotland,蘇格蘭,SCO,🏴,39,1650
Australia,澳洲,AUS,🇦🇺,24,1705
Turkiye,土耳其,TUR,🇹🇷,26,1695
Ivory Coast,象牙海岸,CIV,🇨🇮,45,1630
Ecuador,厄瓜多,ECU,🇪🇨,31,1680
Germany,德國,GER,🇩🇪,10,1810
Curacao,庫拉索,CUW,🇨🇼,88,1425
Netherlands,荷蘭,NED,🇳🇱,7,1830
Japan,日本,JPN,🇯🇵,18,1740
Sweden,瑞典,SWE,🇸🇪,29,1685
Tunisia,突尼西亞,TUN,🇹🇳,46,1620
Iran,伊朗,IRN,🇮🇷,20,1725
New Zealand,紐西蘭,NZL,🇳🇿,85,1440
Belgium,比利時,BEL,🇧🇪,6,1835
Egypt,埃及,EGY,🇪🇬,34,1665
Saudi Arabia,沙烏地阿拉伯,KSA,🇸🇦,56,1560
Uruguay,烏拉圭,URU,🇺🇾,14,1768
Spain,西班牙,ESP,🇪🇸,8,1825
Cape Verde,維德角,CPV,🇨🇻,70,1495
France,法國,FRA,🇫🇷,2,1885
Senegal,塞內加爾,SEN,🇸🇳,17,1745
Iraq,伊拉克,IRQ,🇮🇶,55,1565
Norway,挪威,NOR,🇳🇴,33,1670
Argentina,阿根廷,ARG,🇦🇷,1,1895
Algeria,阿爾及利亞,ALG,🇩🇿,38,1655
Austria,奧地利,AUT,🇦🇹,22,1710
Jordan,約旦,JOR,🇯🇴,68,1500
Portugal,葡萄牙,POR,🇵🇹,4,1860
DR Congo,剛果民主共和國,COD,🇨🇩,61,1520
Uzbekistan,烏茲別克,UZB,🇺🇿,49,1615
Colombia,哥倫比亞,COL,🇨🇴,13,1775
Ghana,迦納,GHA,🇬🇭,67,1505
Panama,巴拿馬,PAN,🇵🇦,44,1635
England,英格蘭,ENG,🏴,3,1870
Croatia,克羅埃西亞,CRO,🇭🇷,9,1815
