team,appearances,best_finish,wins,draws,losses,goals_for,goals_against,win_rate
Brazil,22,Champion,76,19,19,237,108,0.6667
Germany,20,Champion,68,21,23,232,130,0.6071
Argentina,18,Champion,47,17,24,152,101,0.5341
France,16,Champion,39,14,21,136,85,0.5270
Spain,16,Champion,31,17,19,108,75,0.4627
England,16,Champion,32,22,20,104,68,0.4324
Italy,18,Champion,45,21,17,128,77,0.5422
Netherlands,11,Runner-up,30,14,12,96,52,0.5357
Portugal,8,Third Place,17,6,12,61,41,0.4857
Belgium,14,Third Place,21,9,21,69,74,0.4118
Croatia,6,Runner-up,13,8,9,43,36,0.4333
Japan,7,Round of 16,7,6,12,25,33,0.2800
Korea Republic,11,Fourth Place,7,10,21,39,78,0.1842
USA,11,Third Place,9,8,20,40,66,0.2432
Mexico,17,Quarter-final,16,14,28,60,98,0.2759
Canada,2,Group Stage,0,0,6,2,12,0.0000
Paraguay,8,Quarter-final,7,10,10,30,38,0.2593
Bosnia and Herzegovina,1,Group Stage,1,0,2,4,4,0.3333
