team_a,team_b,matches,team_a_wins,draws,team_b_wins,team_a_goals,team_b_goals,last_meeting_year
Argentina,Nigeria,4,4,0,0,7,3,2018
Argentina,Mexico,3,3,0,0,7,2,2022
Argentina,Netherlands,3,0,3,0,2,2,2022
Brazil,Croatia,3,2,1,0,5,2,2022
Denmark,France,3,1,1,1,3,2,2022
England,Sweden,3,1,2,0,5,3,2018
France,Uruguay,3,1,2,0,2,0,2018
Argentina,Germany,3,0,1,2,1,6,2014
Ghana,United States,3,2,0,1,5,4,2014
Argentina,Croatia,2,1,0,1,3,3,2022
Argentina,France,2,0,1,1,6,7,2022
Australia,Denmark,2,1,1,0,2,1,2022
Australia,France,2,0,0,2,2,6,2022
Brazil,Cameroon,2,1,0,1,4,2,2022
Brazil,Serbia,2,2,0,0,4,0,2022
Brazil,Switzerland,2,1,1,0,2,1,2022
Costa Rica,Germany,2,0,0,2,4,8,2022
Croatia,Japan,2,0,2,0,1,1,2022
Croatia,Morocco,2,1,1,0,2,1,2022
England,United States,2,0,2,0,1,1,2022
Germany,Spain,2,0,1,1,1,2,2022
Ghana,Portugal,2,0,0,2,3,5,2022
Ghana,Uruguay,2,0,1,1,1,3,2022
Morocco,Portugal,2,1,0,1,1,1,2022
Morocco,Spain,2,0,2,0,2,2,2022
Portugal,South Korea,2,0,0,2,1,3,2022
Portugal,Uruguay,2,1,0,1,3,2,2022
Serbia,Switzerland,2,0,0,2,3,5,2022
South Korea,Uruguay,2,0,1,1,1,2,2022
Belgium,Brazil,2,1,0,1,2,3,2018
Belgium,England,2,2,0,0,3,0,2018
Belgium,Japan,2,1,1,0,5,4,2018
Belgium,Tunisia,2,1,1,0,6,3,2018
Brazil,Costa Rica,2,2,0,0,7,2,2018
Brazil,Mexico,2,1,1,0,2,0,2018
Colombia,Japan,2,1,0,1,5,3,2018
Germany,South Korea,2,1,0,1,1,2,2018
Germany,Sweden,2,2,0,0,4,1,2018
Iran,Portugal,2,0,1,1,1,3,2018
Portugal,Spain,2,0,1,1,3,4,2018
Belgium,Russia,2,2,0,0,4,2,2014
Brazil,Chile,2,1,1,0,4,1,2014
Brazil,Germany,2,1,0,1,3,7,2014
Brazil,Netherlands,2,0,0,2,1,5,2014
Chile,Spain,2,1,0,1,3,2,2014
Croatia,Mexico,2,0,0,2,1,4,2014
France,Switzerland,2,1,1,0,5,2,2014
Germany,Ghana,2,1,1,0,3,2,2014
Germany,Portugal,2,2,0,0,7,1,2014
Germany,United States,2,2,0,0,2,0,2014
Honduras,Switzerland,2,0,1,1,0,3,2014
Netherlands,Spain,2,1,0,1,5,2,2014
Portugal,United States,2,0,1,1,4,5,2014
Paraguay,Spain,2,0,0,2,1,4,2010
Brazil,Turkey,2,2,0,0,3,1,2002
Argentina,Australia,1,1,0,0,2,1,2022
Argentina,Poland,1,1,0,0,2,0,2022
Argentina,Saudi Arabia,1,0,0,1,1,2,2022
Australia,Tunisia,1,1,0,0,1,0,2022
Belgium,Canada,1,1,0,0,1,0,2022
Belgium,Croatia,1,0,1,0,0,0,2022
Belgium,Morocco,1,0,0,1,0,2,2022
Brazil,South Korea,1,1,0,0,4,1,2022
Cameroon,Serbia,1,0,1,0,3,3,2022
Cameroon,Switzerland,1,0,0,1,0,1,2022
Canada,Croatia,1,0,0,1,1,4,2022
Canada,Morocco,1,0,0,1,1,2,2022
Costa Rica,Japan,1,1,0,0,1,0,2022
Costa Rica,Spain,1,0,0,1,0,7,2022
Denmark,Tunisia,1,0,1,0,0,0,2022
Ecuador,Netherlands,1,0,1,0,1,1,2022
Ecuador,Qatar,1,1,0,0,2,0,2022
Ecuador,Senegal,1,0,0,1,1,2,2022
England,France,1,0,0,1,1,2,2022
England,Iran,1,1,0,0,6,2,2022
England,Senegal,1,1,0,0,3,0,2022
England,Wales,1,1,0,0,3,0,2022
France,Morocco,1,1,0,0,2,0,2022
France,Poland,1,1,0,0,3,1,2022
France,Tunisia,1,0,0,1,0,1,2022
Germany,Japan,1,0,0,1,1,2,2022
Ghana,South Korea,1,1,0,0,3,2,2022
Iran,United States,1,0,0,1,0,1,2022
Iran,Wales,1,1,0,0,2,0,2022
Japan,Spain,1,1,0,0,2,1,2022
Mexico,Poland,1,0,1,0,0,0,2022
Mexico,Saudi Arabia,1,1,0,0,2,1,2022
Netherlands,Qatar,1,1,0,0,2,0,2022
Netherlands,Senegal,1,1,0,0,2,0,2022
Netherlands,United States,1,1,0,0,3,1,2022
Poland,Saudi Arabia,1,1,0,0,2,0,2022
Portugal,Switzerland,1,1,0,0,6,1,2022
Qatar,Senegal,1,0,0,1,1,3,2022
United States,Wales,1,0,1,0,1,1,2022
Argentina,Iceland,1,0,1,0,1,1,2018
Australia,Peru,1,0,0,1,0,2,2018
