match_id,tournament_year,stage,group_name,date,home_team,away_team,home_goals,away_goals,winner,is_draw,went_to_extra_time,went_to_penalties,home_penalties,away_penalties,stadium,city,host_country
M-2002-01,2002,group stage,Group A,2002-05-31,France,Senegal,0,1,Senegal,False,0,0,0,0,Seoul World Cup Stadium,Seoul,South Korea
M-2002-02,2002,group stage,Group E,2002-06-01,Republic of Ireland,Cameroon,1,1,Draw,True,0,0,0,0,Niigata Stadium,Niigata,Japan
M-2002-03,2002,group stage,Group A,2002-06-01,Uruguay,Denmark,1,2,Denmark,False,0,0,0,0,Ulsan Munsu Football Stadium,Ulsan,South Korea
M-2002-04,2002,group stage,Group E,2002-06-01,Germany,Saudi Arabia,8,0,Germany,False,0,0,0,0,Sapporo Dome,Sapporo,Japan
M-2002-05,2002,group stage,Group F,2002-06-02,Argentina,Nigeria,1,0,Argentina,False,0,0,0,0,Kashima Stadium,Ibaraki,Japan
M-2002-06,2002,group stage,Group B,2002-06-02,Paraguay,South Africa,2,2,Draw,True,0,0,0,0,Busan Asiad Stadium,Busan,South Korea
M-2002-07,2002,group stage,Group F,2002-06-02,England,Sweden,1,1,Draw,True,0,0,0,0,Saitama Stadium,Saitama,Japan
M-2002-08,2002,group stage,Group B,2002-06-02,Spain,Slovenia,3,1,Spain,False,0,0,0,0,Gwangju World Cup Stadium,Gwangju,South Korea
M-2002-09,2002,group stage,Group G,2002-06-03,Croatia,Mexico,0,1,Mexico,False,0,0,0,0,Niigata Stadium,Niigata,Japan
M-2002-10,2002,group stage,Group C,2002-06-03,Brazil,Turkey,2,1,Brazil,False,0,0,0,0,Ulsan Munsu Football Stadium,Ulsan,South Korea
M-2002-11,2002,group stage,Group G,2002-06-03,Italy,Ecuador,2,0,Italy,False,0,0,0,0,Sapporo Dome,Sapporo,Japan
M-2002-12,2002,group stage,Group C,2002-06-04,China,Costa Rica,0,2,Costa Rica,False,0,0,0,0,Gwangju World Cup Stadium,Gwangju,South Korea
M-2002-13,2002,group stage,Group H,2002-06-04,Japan,Belgium,2,2,Draw,True,0,0,0,0,Saitama Stadium,Saitama,Japan
M-2002-14,2002,group stage,Group D,2002-06-04,South Korea,Poland,2,0,South Korea,False,0,0,0,0,Busan Asiad Stadium,Busan,South Korea
M-2002-15,2002,group stage,Group H,2002-06-05,Russia,Tunisia,2,0,Russia,False,0,0,0,0,Kobe Wing Stadium,Kobe,Japan
M-2002-16,2002,group stage,Group D,2002-06-05,United States,Portugal,3,2,United States,False,0,0,0,0,Suwon World Cup Stadium,Suwon,South Korea
M-2002-17,2002,group stage,Group E,2002-06-05,Germany,Republic of Ireland,1,1,Draw,True,0,0,0,0,Kashima Stadium,Ibaraki,Japan
M-2002-18,2002,group stage,Group A,2002-06-06,Denmark,Senegal,1,1,Draw,True,0,0,0,0,Daegu World Cup Stadium,Daegu,South Korea
M-2002-19,2002,group stage,Group E,2002-06-06,Cameroon,Saudi Arabia,1,0,Cameroon,False,0,0,0,0,Saitama Stadium,Saitama,Japan
M-2002-20,2002,group stage,Group A,2002-06-06,France,Uruguay,0,0,Draw,True,0,0,0,0,Busan Asiad Stadium,Busan,South Korea
M-2002-21,2002,group stage,Group F,2002-06-07,Sweden,Nigeria,2,1,Sweden,False,0,0,0,0,Kobe Wing Stadium,Kobe,Japan
M-2002-22,2002,group stage,Group B,2002-06-07,Spain,Paraguay,3,1,Spain,False,0,0,0,0,Jeonju World Cup Stadium,Jeonju,South Korea
M-2002-23,2002,group stage,Group F,2002-06-07,Argentina,England,0,1,England,False,0,0,0,0,Sapporo Dome,Sapporo,Japan
M-2002-24,2002,group stage,Group B,2002-06-08,South Africa,Slovenia,1,0,South Africa,False,0,0,0,0,Daegu World Cup Stadium,Daegu,South Korea
M-2002-25,2002,group stage,Group G,2002-06-08,Italy,Croatia,1,2,Croatia,False,0,0,0,0,Kashima Stadium,Ibaraki,Japan
