team,tournaments_played,matches,wins,draws,losses,goals_for,goals_against,goal_difference,win_rate,titles,top4_finishes
Germany,6,34,23,4,7,70,27,43,0.6765,1,4
France,6,32,18,8,6,50,27,23,0.5625,1,3
Brazil,6,34,23,5,6,64,30,34,0.6765,1,2
Argentina,6,31,18,7,6,52,32,20,0.5806,1,2
Spain,6,27,15,7,5,47,27,20,0.5556,1,1
Italy,4,17,7,5,5,23,15,8,0.4118,1,1
Netherlands,4,23,16,5,2,40,16,24,0.6957,0,2
Croatia,5,23,8,8,7,32,28,4,0.3478,0,2
Belgium,4,19,12,3,4,29,18,11,0.6316,0,1
Turkey,1,7,4,1,2,10,6,4,0.5714,0,1
Uruguay,5,22,10,5,7,28,24,4,0.4545,0,1
Portugal,6,26,11,6,9,42,29,13,0.4231,0,1
England,6,29,12,9,8,42,26,16,0.4138,0,1
Morocco,2,10,3,3,4,8,9,-1,0.3,0,1
South Korea,6,24,7,6,11,28,35,-7,0.2917,0,1
Colombia,2,9,6,1,2,18,7,11,0.6667,0,0
Chile,2,8,4,1,3,9,9,0,0.5,0,0
Switzerland,5,19,8,5,6,22,22,0,0.4211,0,0
Senegal,3,12,5,3,4,16,17,-1,0.4167,0,0
Ukraine,1,5,2,1,2,5,7,-2,0.4,0,0
Mexico,6,23,9,5,9,23,26,-3,0.3913,0,0
Sweden,3,13,5,4,4,14,13,1,0.3846,0,0
Ecuador,4,13,5,2,6,14,14,0,0.3846,0,0
Bosnia and Herzegovina,1,3,1,0,2,4,4,0,0.3333,0,0
Peru,1,3,1,0,2,2,2,0,0.3333,0,0
Czech Republic,1,3,1,0,2,3,4,-1,0.3333,0,0
Ivory Coast,3,9,3,1,5,13,14,-1,0.3333,0,0
South Africa,2,6,2,2,2,8,10,-2,0.3333,0,0
Ghana,4,15,5,3,7,18,23,-5,0.3333,0,0
Japan,6,22,7,6,9,24,29,-5,0.3182,0,0
Poland,4,13,4,1,8,10,21,-11,0.3077,0,0
Denmark,4,14,4,5,5,12,16,-4,0.2857,0,0
Greece,2,7,2,2,3,5,10,-5,0.2857,0,0
Russia,3,11,3,4,4,17,14,3,0.2727,0,0
Republic of Ireland,1,4,1,3,0,6,3,3,0.25,0,0
Paraguay,3,12,3,4,5,11,11,0,0.25,0,0
Slovakia,1,4,1,1,2,5,7,-2,0.25,0,0
United States,5,20,5,7,8,22,28,-6,0.25,0,0
Australia,5,17,4,3,10,17,32,-15,0.2353,0,0
Costa Rica,5,17,4,5,8,18,33,-15,0.2353,0,0
Serbia,3,9,2,1,6,9,15,-6,0.2222,0,0
Slovenia,2,6,1,1,4,5,10,-5,0.1667,0,0
Iran,4,12,2,3,7,9,19,-10,0.1667,0,0
Tunisia,4,12,2,3,7,10,20,-10,0.1667,0,0
Cameroon,4,12,2,2,8,9,21,-12,0.1667,0,0
Saudi Arabia,4,12,2,1,9,7,31,-24,0.1667,0,0
Nigeria,4,13,2,3,8,10,17,-7,0.1538,0,0
Algeria,2,7,1,2,4,7,9,-2,0.1429,0,0
New Zealand,1,3,0,3,0,2,2,0,0.0,0,0
Angola,1,3,0,2,1,1,2,-1,0.0,0,0
Iceland,1,3,0,1,2,2,5,-3,0.0,0,0
Egypt,1,3,0,0,3,2,6,-4,0.0,0,0
Trinidad and Tobago,1,3,0,1,2,0,4,-4,0.0,0,0
Canada,1,3,0,0,3,2,7,-5,0.0,0,0
Togo,1,3,0,0,3,1,6,-5,0.0,0,0
Wales,1,3,0,1,2,1,6,-5,0.0,0,0
Qatar,1,3,0,0,3,1,7,-6,0.0,0,0
Serbia and Montenegro,1,3,0,0,3,2,10,-8,0.0,0,0
China,1,3,0,0,3,0,9,-9,0.0,0,0
Panama,1,3,0,0,3,2,11,-9,0.0,0,0
Honduras,2,6,0,1,5,1,11,-10,0.0,0,0
North Korea,1,3,0,0,3,1,12,-11,0.0,0,0
