match_id,date,taiwan_time,stage,group,home_team,away_team,stadium,city,status
1,2026-06-11,2026-06-12 03:00,Group A,Group A,Mexico,South Africa,Estadio Azteca,Mexico City,Upcoming
2,2026-06-11,2026-06-12 10:00,Group A,Group A,South Korea,Czechia,Estadio Akron,Guadalajara,Upcoming
3,2026-06-12,2026-06-13 03:00,Group B,Group B,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Upcoming
4,2026-06-12,2026-06-13 09:00,Group D,Group D,United States,Paraguay,SoFi Stadium,Los Angeles,Upcoming
5,2026-06-13,2026-06-14 03:00,Group B,Group B,Qatar,Switzerland,Levi's Stadium,San Francisco Bay Area,Upcoming
6,2026-06-13,2026-06-14 06:00,Group C,Group C,Brazil,Morocco,Gillette Stadium,Boston,Upcoming
7,2026-06-13,2026-06-14 09:00,Group C,Group C,Haiti,Scotland,MetLife Stadium,New York/New Jersey,Upcoming
8,2026-06-13,2026-06-14 12:00,Group D,Group D,Australia,Turkiye,BC Place,Vancouver,Upcoming
9,2026-06-14,2026-06-15 07:00,Group E,Group E,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia,Upcoming
10,2026-06-14,2026-06-15 01:00,Group E,Group E,Germany,Curacao,NRG Stadium,Houston,Upcoming
11,2026-06-14,2026-06-15 04:00,Group F,Group F,Netherlands,Japan,AT&T Stadium,Dallas,Upcoming
12,2026-06-14,2026-06-15 10:00,Group F,Group F,Sweden,Tunisia,Estadio BBVA,TBD,Upcoming
13,2026-06-15,2026-06-16 09:00,Group G,Group G,Iran,New Zealand,SoFi Stadium,Los Angeles,Upcoming
14,2026-06-15,2026-06-16 03:00,Group G,Group G,Belgium,Egypt,Lumen Field,Seattle,Upcoming
15,2026-06-15,2026-06-16 06:00,Group H,Group H,Saudi Arabia,Uruguay,Hard Rock Stadium,Miami,Upcoming
16,2026-06-15,2026-06-16 00:00,Group H,Group H,Spain,Cape Verde,Mercedes-Benz Stadium,Atlanta,Upcoming
17,2026-06-16,2026-06-17 03:00,Group I,Group I,France,Senegal,MetLife Stadium,New York/New Jersey,Upcoming
18,2026-06-16,2026-06-17 06:00,Group I,Group I,Iraq,Norway,Gillette Stadium,Boston,Upcoming
19,2026-06-16,2026-06-17 09:00,Group J,Group J,Argentina,Algeria,Arrowhead Stadium,Kansas City,Upcoming
20,2026-06-16,2026-06-17 12:00,Group J,Group J,Austria,Jordan,Levi's Stadium,San Francisco Bay Area,Upcoming
21,2026-06-17,2026-06-18 01:00,Group K,Group K,Portugal,DR Congo,NRG Stadium,Houston,Upcoming
22,2026-06-17,2026-06-18 10:00,Group K,Group K,Uzbekistan,Colombia,Estadio Azteca,Mexico City,Upcoming
23,2026-06-17,2026-06-18 07:00,Group L,Group L,Ghana,Panama,BMO Field,Toronto,Upcoming
24,2026-06-17,2026-06-18 04:00,Group L,Group L,England,Croatia,AT&T Stadium,Dallas,Upcoming
25,2026-06-18,2026-06-19 00:00,Group A,Group A,Czechia,South Africa,Mercedes-Benz Stadium,Atlanta,Upcoming
26,2026-06-18,2026-06-19 09:00,Group A,Group A,Mexico,South Korea,Estadio Akron,Guadalajara,Upcoming
27,2026-06-18,2026-06-19 03:00,Group B,Group B,Switzerland,Bosnia and Herzegovina,SoFi Stadium,Los Angeles,Upcoming
28,2026-06-18,2026-06-19 06:00,Group B,Group B,Canada,Qatar,BC Place,Vancouver,Upcoming
29,2026-06-19,2026-06-20 06:00,Group C,Group C,Scotland,Morocco,Lincoln Financial Field,Philadelphia,Upcoming
30,2026-06-19,2026-06-20 08:30,Group C,Group C,Brazil,Haiti,Gillette Stadium,Boston,Upcoming
31,2026-06-19,2026-06-20 11:00,Group D,Group D,Turkiye,Paraguay,Levi's Stadium,San Francisco Bay Area,Upcoming
32,2026-06-19,2026-06-20 03:00,Group D,Group D,United States,Australia,Lumen Field,Seattle,Upcoming
33,2026-06-20,2026-06-21 04:00,Group E,Group E,Germany,Ivory Coast,BMO Field,Toronto,Upcoming
34,2026-06-20,2026-06-21 08:00,Group E,Group E,Ecuador,Curacao,Arrowhead Stadium,Kansas City,Upcoming
35,2026-06-20,2026-06-21 01:00,Group F,Group F,Netherlands,Sweden,NRG Stadium,Houston,Upcoming
36,2026-06-20,2026-06-21 12:00,Group F,Group F,Tunisia,Japan,Estadio BBVA,TBD,Upcoming
37,2026-06-21,2026-06-22 03:00,Group G,Group G,Belgium,Iran,SoFi Stadium,Los Angeles,Upcoming
38,2026-06-21,2026-06-22 09:00,Group G,Group G,New Zealand,Egypt,BC Place,Vancouver,Upcoming
39,2026-06-21,2026-06-22 06:00,Group H,Group H,Uruguay,Cape Verde,Hard Rock Stadium,Miami,Upcoming
40,2026-06-21,2026-06-22 00:00,Group H,Group H,Spain,Saudi Arabia,Mercedes-Benz Stadium,Atlanta,Upcoming
41,2026-06-22,2026-06-23 08:00,Group I,Group I,Norway,Senegal,MetLife Stadium,New York/New Jersey,Upcoming
42,2026-06-22,2026-06-23 05:00,Group I,Group I,France,Iraq,Lincoln Financial Field,Philadelphia,Upcoming
43,2026-06-22,2026-06-23 01:00,Group J,Group J,Argentina,Austria,AT&T Stadium,Dallas,Upcoming
44,2026-06-22,2026-06-23 11:00,Group J,Group J,Jordan,Algeria,Levi's Stadium,San Francisco Bay Area,Upcoming
45,2026-06-23,2026-06-24 01:00,Group K,Group K,Portugal,Uzbekistan,NRG Stadium,Houston,Upcoming
46,2026-06-23,2026-06-24 10:00,Group K,Group K,Colombia,DR Congo,Estadio Akron,Guadalajara,Upcoming
47,2026-06-23,2026-06-24 04:00,Group L,Group L,England,Ghana,Gillette Stadium,Boston,Upcoming
48,2026-06-23,2026-06-24 07:00,Group L,Group L,Panama,Croatia,BMO Field,Toronto,Upcoming
49,2026-06-24,2026-06-25 09:00,Group A,Group A,Czechia,Mexico,Estadio Azteca,Mexico City,Upcoming
50,2026-06-24,2026-06-25 09:00,Group A,Group A,South Africa,South Korea,Estadio BBVA,TBD,Upcoming
51,2026-06-24,2026-06-25 03:00,Group B,Group B,Switzerland,Canada,BC Place,Vancouver,Upcoming
52,2026-06-24,2026-06-25 03:00,Group B,Group B,Bosnia and Herzegovina,Qatar,Lumen Field,Seattle,Upcoming
53,2026-06-24,2026-06-25 06:00,Group C,Group C,Scotland,Brazil,Hard Rock Stadium,Miami,Upcoming
54,2026-06-24,2026-06-25 06:00,Group C,Group C,Morocco,Haiti,Mercedes-Benz Stadium,Atlanta,Upcoming
55,2026-06-25,2026-06-26 10:00,Group D,Group D,Turkiye,United States,SoFi Stadium,Los Angeles,Upcoming
56,2026-06-25,2026-06-26 10:00,Group D,Group D,Paraguay,Australia,Levi's Stadium,San Francisco Bay Area,Upcoming
57,2026-06-25,2026-06-26 04:00,Group E,Group E,Curacao,Ivory Coast,Lincoln Financial Field,Philadelphia,Upcoming
58,2026-06-25,2026-06-26 04:00,Group E,Group E,Ecuador,Germany,MetLife Stadium,New York/New Jersey,Upcoming
59,2026-06-25,2026-06-26 07:00,Group F,Group F,Japan,Sweden,AT&T Stadium,Dallas,Upcoming
60,2026-06-25,2026-06-26 07:00,Group F,Group F,Tunisia,Netherlands,Arrowhead Stadium,Kansas City,Upcoming
61,2026-06-26,2026-06-27 11:00,Group G,Group G,Egypt,Iran,Lumen Field,Seattle,Upcoming
62,2026-06-26,2026-06-27 11:00,Group G,Group G,New Zealand,Belgium,BC Place,Vancouver,Upcoming
63,2026-06-26,2026-06-27 08:00,Group H,Group H,Cape Verde,Saudi Arabia,NRG Stadium,Houston,Upcoming
64,2026-06-26,2026-06-27 08:00,Group H,Group H,Uruguay,Spain,Estadio Akron,Guadalajara,Upcoming
