team,tournaments_played,best_finish,wins,draws,losses,goals_for,goals_against,win_rate
Argentina,6,Champion,18,7,6,52,32,0.5806
Canada,1,Group Stage,0,0,3,2,7,0.0000
France,6,Champion,18,8,6,50,27,0.5625
Japan,6,Round of 16,7,6,9,24,29,0.3182
Brazil,6,Champion,23,5,6,64,30,0.6765
South Korea,6,Fourth Place,7,6,11,28,35,0.2917
England,6,Fourth Place,12,9,8,42,26,0.4138
USA,4,Round of 16,5,6,5,19,20,0.3125
Spain,6,Champion,15,7,5,47,27,0.5556
Morocco,2,Fourth Place,3,3,4,8,9,0.3000
Germany,6,Champion,23,4,7,70,27,0.6765
Mexico,6,Round of 16,9,5,9,23,26,0.3913
